"","common_name","sci_name","year","count"
"53","American Goldfinch","Spinus tristis",2004,60
"54","American Goldfinch","Spinus tristis",2005,76
"55","American Goldfinch","Spinus tristis",2006,99
"56","American Goldfinch","Spinus tristis",2007,104
"57","American Goldfinch","Spinus tristis",2008,84
"58","American Goldfinch","Spinus tristis",2009,57
"59","American Goldfinch","Spinus tristis",2010,51
"60","American Goldfinch","Spinus tristis",2011,85
"61","American Goldfinch","Spinus tristis",2012,76
"62","American Goldfinch","Spinus tristis",2013,56
"63","American Goldfinch","Spinus tristis",2014,92
"64","American Goldfinch","Spinus tristis",2015,74
"65","American Goldfinch","Spinus tristis",2016,79
"66","American Goldfinch","Spinus tristis",2017,48
"67","American Goldfinch","Spinus tristis",2018,56
"68","American Goldfinch","Spinus tristis",2019,58
"69","American Goldfinch","Spinus tristis",2020,91
"70","American Goldfinch","Spinus tristis",2021,53
"71","American Goldfinch","Spinus tristis",2022,47
"72","American Goldfinch","Spinus tristis",2023,53
"73","American Redstart","Setophaga ruticilla",2000,3
"74","American Redstart","Setophaga ruticilla",2006,1
"75","American Redstart","Setophaga ruticilla",2007,1
"76","American Redstart","Setophaga ruticilla",2008,1
"77","American Redstart","Setophaga ruticilla",2010,0
"78","American Redstart","Setophaga ruticilla",2011,1
"79","American Redstart","Setophaga ruticilla",2013,1
"80","American Redstart","Setophaga ruticilla",2016,2
"81","American Robin","Turdus migratorius",2000,63
"82","American Robin","Turdus migratorius",2001,68
"83","American Robin","Turdus migratorius",2002,73
"84","American Robin","Turdus migratorius",2003,85
"85","American Robin","Turdus migratorius",2004,57
"86","American Robin","Turdus migratorius",2005,55
"87","American Robin","Turdus migratorius",2006,47
"88","American Robin","Turdus migratorius",2007,52
"89","American Robin","Turdus migratorius",2008,50
"90","American Robin","Turdus migratorius",2009,48
"91","American Robin","Turdus migratorius",2010,75
"92","American Robin","Turdus migratorius",2011,15
"93","American Robin","Turdus migratorius",2012,27
"94","American Robin","Turdus migratorius",2013,36
"95","American Robin","Turdus migratorius",2014,40
"96","American Robin","Turdus migratorius",2015,47
"97","American Robin","Turdus migratorius",2016,38
"98","American Robin","Turdus migratorius",2017,67
"99","American Robin","Turdus migratorius",2018,38
"100","American Robin","Turdus migratorius",2019,30
"101","American Robin","Turdus migratorius",2020,20
"102","American Robin","Turdus migratorius",2021,26
"103","American Robin","Turdus migratorius",2022,37
"104","American Robin","Turdus migratorius",2023,29
"105","Bald Eagle","Haliaeetus leucocephalus",2000,1
"106","Bald Eagle","Haliaeetus leucocephalus",2006,1
"107","Bald Eagle","Haliaeetus leucocephalus",2010,0
"108","Bald Eagle","Haliaeetus leucocephalus",2016,0
"109","Bald Eagle","Haliaeetus leucocephalus",2020,1
"110","Bald Eagle","Haliaeetus leucocephalus",2022,1
"111","Baltimore Oriole","Icterus galbula",2017,1
"112","Baltimore Oriole","Icterus galbula",2020,1
"113","Barn Swallow","Hirundo rustica",2000,68
"114","Barn Swallow","Hirundo rustica",2001,50
"115","Barn Swallow","Hirundo rustica",2002,65
"116","Barn Swallow","Hirundo rustica",2003,39
"117","Barn Swallow","Hirundo rustica",2004,32
"118","Barn Swallow","Hirundo rustica",2005,33
"119","Barn Swallow","Hirundo rustica",2006,43
"120","Barn Swallow","Hirundo rustica",2007,56
"121","Barn Swallow","Hirundo rustica",2008,39
"122","Barn Swallow","Hirundo rustica",2009,25
"123","Barn Swallow","Hirundo rustica",2010,70
"124","Barn Swallow","Hirundo rustica",2011,39
"125","Barn Swallow","Hirundo rustica",2012,43
"126","Barn Swallow","Hirundo rustica",2013,17
"127","Barn Swallow","Hirundo rustica",2014,25
"128","Barn Swallow","Hirundo rustica",2015,31
"129","Barn Swallow","Hirundo rustica",2016,26
"130","Barn Swallow","Hirundo rustica",2017,46
"131","Barn Swallow","Hirundo rustica",2018,30
"132","Barn Swallow","Hirundo rustica",2019,30
"133","Barn Swallow","Hirundo rustica",2020,46
"134","Barn Swallow","Hirundo rustica",2021,9
"135","Barn Swallow","Hirundo rustica",2022,21
"136","Barn Swallow","Hirundo rustica",2023,15
"137","Barred Owl","Strix varia",2000,1
"138","Barred Owl","Strix varia",2001,1
"139","Barred Owl","Strix varia",2002,2
"140","Barred Owl","Strix varia",2003,1
"141","Barred Owl","Strix varia",2004,2
"142","Barred Owl","Strix varia",2005,3
"143","Barred Owl","Strix varia",2007,3
"144","Barred Owl","Strix varia",2008,4
"145","Barred Owl","Strix varia",2009,2
"146","Barred Owl","Strix varia",2010,0
"147","Barred Owl","Strix varia",2011,3
"148","Barred Owl","Strix varia",2012,8
"149","Barred Owl","Strix varia",2013,1
"150","Barred Owl","Strix varia",2014,1
"151","Barred Owl","Strix varia",2015,3
"152","Barred Owl","Strix varia",2016,4
"153","Barred Owl","Strix varia",2017,6
"154","Barred Owl","Strix varia",2018,3
"155","Barred Owl","Strix varia",2019,7
"156","Barred Owl","Strix varia",2020,2
"157","Barred Owl","Strix varia",2021,2
"158","Barred Owl","Strix varia",2022,4
"159","Barred Owl","Strix varia",2023,1
"160","Belted Kingfisher","Megaceryle alcyon",2001,1
"161","Belted Kingfisher","Megaceryle alcyon",2003,1
"162","Belted Kingfisher","Megaceryle alcyon",2005,1
"163","Belted Kingfisher","Megaceryle alcyon",2007,1
"164","Belted Kingfisher","Megaceryle alcyon",2010,2
"165","Belted Kingfisher","Megaceryle alcyon",2012,1
"166","Belted Kingfisher","Megaceryle alcyon",2016,0
"167","Belted Kingfisher","Megaceryle alcyon",2022,1
"168","Black Vulture","Coragyps atratus",2001,4
"169","Black Vulture","Coragyps atratus",2004,4
"170","Black Vulture","Coragyps atratus",2005,1
"171","Black Vulture","Coragyps atratus",2006,1
"172","Black Vulture","Coragyps atratus",2007,15
"173","Black Vulture","Coragyps atratus",2008,4
"174","Black Vulture","Coragyps atratus",2009,13
"175","Black Vulture","Coragyps atratus",2010,7
"176","Black Vulture","Coragyps atratus",2011,16
"177","Black Vulture","Coragyps atratus",2012,15
"178","Black Vulture","Coragyps atratus",2013,32
"179","Black Vulture","Coragyps atratus",2014,23
"180","Black Vulture","Coragyps atratus",2015,51
"181","Black Vulture","Coragyps atratus",2016,29
"182","Black Vulture","Coragyps atratus",2017,16
"183","Black Vulture","Coragyps atratus",2018,22
"184","Black Vulture","Coragyps atratus",2019,9
"185","Black Vulture","Coragyps atratus",2020,47
"186","Black Vulture","Coragyps atratus",2021,30
"187","Black Vulture","Coragyps atratus",2022,40
"188","Black Vulture","Coragyps atratus",2023,32
"189","Black-and-white Warbler","Mniotilta varia",2000,1
"190","Black-and-white Warbler","Mniotilta varia",2001,1
"191","Black-and-white Warbler","Mniotilta varia",2002,1
"192","Black-and-white Warbler","Mniotilta varia",2003,1
"193","Black-and-white Warbler","Mniotilta varia",2004,1
"194","Black-and-white Warbler","Mniotilta varia",2005,3
"195","Black-and-white Warbler","Mniotilta varia",2006,6
"196","Black-and-white Warbler","Mniotilta varia",2007,1
"197","Black-and-white Warbler","Mniotilta varia",2008,1
"198","Black-and-white Warbler","Mniotilta varia",2009,3
"199","Black-and-white Warbler","Mniotilta varia",2010,1
"200","Black-and-white Warbler","Mniotilta varia",2011,3
"201","Black-and-white Warbler","Mniotilta varia",2012,4
"202","Black-and-white Warbler","Mniotilta varia",2013,2
"203","Black-and-white Warbler","Mniotilta varia",2014,4
"204","Black-and-white Warbler","Mniotilta varia",2015,3
"205","Black-and-white Warbler","Mniotilta varia",2016,2
"206","Black-and-white Warbler","Mniotilta varia",2017,3
"207","Black-and-white Warbler","Mniotilta varia",2018,1
"208","Black-and-white Warbler","Mniotilta varia",2019,1
"209","Black-and-white Warbler","Mniotilta varia",2020,8
"210","Black-and-white Warbler","Mniotilta varia",2021,2
"211","Black-and-white Warbler","Mniotilta varia",2022,2
"212","Black-and-white Warbler","Mniotilta varia",2023,9
"213","Black-throated Blue Warbler","Setophaga caerulescens",2012,1
"214","Blackpoll Warbler","Setophaga striata",2021,3
"215","Blue Grosbeak","Passerina caerulea",2000,63
"216","Blue Grosbeak","Passerina caerulea",2001,42
"217","Blue Grosbeak","Passerina caerulea",2002,37
"218","Blue Grosbeak","Passerina caerulea",2003,55
"219","Blue Grosbeak","Passerina caerulea",2004,39
"220","Blue Grosbeak","Passerina caerulea",2005,52
"221","Blue Grosbeak","Passerina caerulea",2006,44
"222","Blue Grosbeak","Passerina caerulea",2007,49
"223","Blue Grosbeak","Passerina caerulea",2008,41
"224","Blue Grosbeak","Passerina caerulea",2009,48
"225","Blue Grosbeak","Passerina caerulea",2010,75
"226","Blue Grosbeak","Passerina caerulea",2011,43
"227","Blue Grosbeak","Passerina caerulea",2012,51
"228","Blue Grosbeak","Passerina caerulea",2013,44
"229","Blue Grosbeak","Passerina caerulea",2014,41
"230","Blue Grosbeak","Passerina caerulea",2015,31
"231","Blue Grosbeak","Passerina caerulea",2016,34
"232","Blue Grosbeak","Passerina caerulea",2017,55
"233","Blue Grosbeak","Passerina caerulea",2018,58
"234","Blue Grosbeak","Passerina caerulea",2019,57
"235","Blue Grosbeak","Passerina caerulea",2020,66
"236","Blue Grosbeak","Passerina caerulea",2021,55
"237","Blue Grosbeak","Passerina caerulea",2022,58
"238","Blue Grosbeak","Passerina caerulea",2023,36
"239","Blue Jay","Cyanocitta cristata",2000,44
"240","Blue Jay","Cyanocitta cristata",2001,82
"241","Blue Jay","Cyanocitta cristata",2002,65
"242","Blue Jay","Cyanocitta cristata",2003,71
"243","Blue Jay","Cyanocitta cristata",2004,49
"244","Blue Jay","Cyanocitta cristata",2005,68
"245","Blue Jay","Cyanocitta cristata",2006,59
"246","Blue Jay","Cyanocitta cristata",2007,47
"247","Blue Jay","Cyanocitta cristata",2008,42
"248","Blue Jay","Cyanocitta cristata",2009,69
"249","Blue Jay","Cyanocitta cristata",2010,57
"250","Blue Jay","Cyanocitta cristata",2011,67
"251","Blue Jay","Cyanocitta cristata",2012,63
"252","Blue Jay","Cyanocitta cristata",2013,49
"253","Blue Jay","Cyanocitta cristata",2014,61
"254","Blue Jay","Cyanocitta cristata",2015,45
"255","Blue Jay","Cyanocitta cristata",2016,39
"256","Blue Jay","Cyanocitta cristata",2017,36
"257","Blue Jay","Cyanocitta cristata",2018,35
"258","Blue Jay","Cyanocitta cristata",2019,47
"259","Blue Jay","Cyanocitta cristata",2020,46
"260","Blue Jay","Cyanocitta cristata",2021,73
"261","Blue Jay","Cyanocitta cristata",2022,70
"262","Blue Jay","Cyanocitta cristata",2023,41
"263","Blue-gray Gnatcatcher","Polioptila caerulea",2000,127
"264","Blue-gray Gnatcatcher","Polioptila caerulea",2001,129
"265","Blue-gray Gnatcatcher","Polioptila caerulea",2002,72
"266","Blue-gray Gnatcatcher","Polioptila caerulea",2003,70
"267","Blue-gray Gnatcatcher","Polioptila caerulea",2004,90
"268","Blue-gray Gnatcatcher","Polioptila caerulea",2005,97
"269","Blue-gray Gnatcatcher","Polioptila caerulea",2006,85
"270","Blue-gray Gnatcatcher","Polioptila caerulea",2007,103
"271","Blue-gray Gnatcatcher","Polioptila caerulea",2008,122
"272","Blue-gray Gnatcatcher","Polioptila caerulea",2009,136
"273","Blue-gray Gnatcatcher","Polioptila caerulea",2010,93
"274","Blue-gray Gnatcatcher","Polioptila caerulea",2011,78
"275","Blue-gray Gnatcatcher","Polioptila caerulea",2012,61
"276","Blue-gray Gnatcatcher","Polioptila caerulea",2013,69
"277","Blue-gray Gnatcatcher","Polioptila caerulea",2014,113
"278","Blue-gray Gnatcatcher","Polioptila caerulea",2015,121
"279","Blue-gray Gnatcatcher","Polioptila caerulea",2016,74
"280","Blue-gray Gnatcatcher","Polioptila caerulea",2017,89
"281","Blue-gray Gnatcatcher","Polioptila caerulea",2018,93
"282","Blue-gray Gnatcatcher","Polioptila caerulea",2019,112
"283","Blue-gray Gnatcatcher","Polioptila caerulea",2020,139
"284","Blue-gray Gnatcatcher","Polioptila caerulea",2021,84
"285","Blue-gray Gnatcatcher","Polioptila caerulea",2022,105
"286","Blue-gray Gnatcatcher","Polioptila caerulea",2023,101
"287","Blue-headed Vireo","Vireo solitarius",2001,1
"288","Blue-headed Vireo","Vireo solitarius",2002,3
"289","Blue-headed Vireo","Vireo solitarius",2003,1
"290","Blue-headed Vireo","Vireo solitarius",2005,2
"291","Blue-headed Vireo","Vireo solitarius",2007,3
"292","Blue-headed Vireo","Vireo solitarius",2009,3
"293","Blue-headed Vireo","Vireo solitarius",2010,8
"294","Blue-headed Vireo","Vireo solitarius",2011,1
"295","Blue-headed Vireo","Vireo solitarius",2012,1
"296","Blue-headed Vireo","Vireo solitarius",2013,1
"297","Blue-headed Vireo","Vireo solitarius",2015,1
"298","Blue-headed Vireo","Vireo solitarius",2016,0
"299","Blue-headed Vireo","Vireo solitarius",2018,1
"300","Broad-winged Hawk","Buteo platypterus",2004,1
"301","Broad-winged Hawk","Buteo platypterus",2005,3
"302","Broad-winged Hawk","Buteo platypterus",2006,1
"303","Broad-winged Hawk","Buteo platypterus",2007,3
"304","Broad-winged Hawk","Buteo platypterus",2008,2
"305","Broad-winged Hawk","Buteo platypterus",2010,0
"306","Broad-winged Hawk","Buteo platypterus",2016,0
"307","Brown Thrasher","Toxostoma rufum",2000,29
"308","Brown Thrasher","Toxostoma rufum",2001,15
"309","Brown Thrasher","Toxostoma rufum",2002,27
"310","Brown Thrasher","Toxostoma rufum",2003,21
"311","Brown Thrasher","Toxostoma rufum",2004,13
"312","Brown Thrasher","Toxostoma rufum",2005,27
"313","Brown Thrasher","Toxostoma rufum",2006,19
"314","Brown Thrasher","Toxostoma rufum",2007,26
"315","Brown Thrasher","Toxostoma rufum",2008,20
"316","Brown Thrasher","Toxostoma rufum",2009,20
"317","Brown Thrasher","Toxostoma rufum",2010,25
"318","Brown Thrasher","Toxostoma rufum",2011,25
"319","Brown Thrasher","Toxostoma rufum",2012,25
"320","Brown Thrasher","Toxostoma rufum",2013,28
"321","Brown Thrasher","Toxostoma rufum",2014,23
"322","Brown Thrasher","Toxostoma rufum",2015,31
"323","Brown Thrasher","Toxostoma rufum",2016,28
"324","Brown Thrasher","Toxostoma rufum",2017,15
"325","Brown Thrasher","Toxostoma rufum",2018,26
"326","Brown Thrasher","Toxostoma rufum",2019,20
"327","Brown Thrasher","Toxostoma rufum",2020,30
"328","Brown Thrasher","Toxostoma rufum",2021,16
"329","Brown Thrasher","Toxostoma rufum",2022,31
"330","Brown Thrasher","Toxostoma rufum",2023,12
"331","Brown-headed Cowbird","Molothrus ater",2000,30
"332","Brown-headed Cowbird","Molothrus ater",2001,50
"333","Brown-headed Cowbird","Molothrus ater",2002,57
"334","Brown-headed Cowbird","Molothrus ater",2003,19
"335","Brown-headed Cowbird","Molothrus ater",2004,20
"336","Brown-headed Cowbird","Molothrus ater",2005,46
"337","Brown-headed Cowbird","Molothrus ater",2006,39
"338","Brown-headed Cowbird","Molothrus ater",2007,34
"339","Brown-headed Cowbird","Molothrus ater",2008,36
"340","Brown-headed Cowbird","Molothrus ater",2009,52
"341","Brown-headed Cowbird","Molothrus ater",2010,62
"342","Brown-headed Cowbird","Molothrus ater",2011,40
"343","Brown-headed Cowbird","Molothrus ater",2012,38
"344","Brown-headed Cowbird","Molothrus ater",2013,37
"345","Brown-headed Cowbird","Molothrus ater",2014,42
"346","Brown-headed Cowbird","Molothrus ater",2015,40
"347","Brown-headed Cowbird","Molothrus ater",2016,22
"348","Brown-headed Cowbird","Molothrus ater",2017,18
"349","Brown-headed Cowbird","Molothrus ater",2018,28
"350","Brown-headed Cowbird","Molothrus ater",2019,37
"351","Brown-headed Cowbird","Molothrus ater",2020,52
"352","Brown-headed Cowbird","Molothrus ater",2021,46
"353","Brown-headed Cowbird","Molothrus ater",2022,39
"354","Brown-headed Cowbird","Molothrus ater",2023,36
"355","Brown-headed Nuthatch","Sitta pusilla",2000,9
"356","Brown-headed Nuthatch","Sitta pusilla",2001,12
"357","Brown-headed Nuthatch","Sitta pusilla",2002,31
"358","Brown-headed Nuthatch","Sitta pusilla",2003,9
"359","Brown-headed Nuthatch","Sitta pusilla",2004,3
"360","Brown-headed Nuthatch","Sitta pusilla",2005,11
"361","Brown-headed Nuthatch","Sitta pusilla",2006,7
"362","Brown-headed Nuthatch","Sitta pusilla",2007,21
"363","Brown-headed Nuthatch","Sitta pusilla",2008,12
"364","Brown-headed Nuthatch","Sitta pusilla",2009,11
"365","Brown-headed Nuthatch","Sitta pusilla",2010,11
"366","Brown-headed Nuthatch","Sitta pusilla",2011,9
"367","Brown-headed Nuthatch","Sitta pusilla",2012,18
"368","Brown-headed Nuthatch","Sitta pusilla",2013,12
"369","Brown-headed Nuthatch","Sitta pusilla",2014,18
"370","Brown-headed Nuthatch","Sitta pusilla",2015,13
"371","Brown-headed Nuthatch","Sitta pusilla",2016,14
"372","Brown-headed Nuthatch","Sitta pusilla",2017,12
"373","Brown-headed Nuthatch","Sitta pusilla",2018,15
"374","Brown-headed Nuthatch","Sitta pusilla",2019,15
"375","Brown-headed Nuthatch","Sitta pusilla",2020,25
"376","Brown-headed Nuthatch","Sitta pusilla",2021,20
"377","Brown-headed Nuthatch","Sitta pusilla",2022,28
"378","Brown-headed Nuthatch","Sitta pusilla",2023,21
"379","Canada Goose","Branta canadensis",2000,2
"380","Canada Goose","Branta canadensis",2001,26
"381","Canada Goose","Branta canadensis",2002,28
"382","Canada Goose","Branta canadensis",2003,3
"383","Canada Goose","Branta canadensis",2004,3
"384","Canada Goose","Branta canadensis",2005,15
"385","Canada Goose","Branta canadensis",2006,19
"386","Canada Goose","Branta canadensis",2007,7
"387","Canada Goose","Branta canadensis",2008,28
"388","Canada Goose","Branta canadensis",2009,18
"389","Canada Goose","Branta canadensis",2010,68
"390","Canada Goose","Branta canadensis",2011,64
"391","Canada Goose","Branta canadensis",2012,4
"392","Canada Goose","Branta canadensis",2013,4
"393","Canada Goose","Branta canadensis",2014,21
"394","Canada Goose","Branta canadensis",2015,8
"395","Canada Goose","Branta canadensis",2016,2
"396","Canada Goose","Branta canadensis",2017,13
"397","Canada Goose","Branta canadensis",2018,13
"398","Canada Goose","Branta canadensis",2019,53
"399","Canada Goose","Branta canadensis",2020,3
"400","Canada Goose","Branta canadensis",2021,44
"401","Canada Goose","Branta canadensis",2022,8
"402","Canada Goose","Branta canadensis",2023,14
"403","Carolina Chickadee","Poecile carolinensis",2000,95
"404","Carolina Chickadee","Poecile carolinensis",2001,105
"405","Carolina Chickadee","Poecile carolinensis",2002,83
"406","Carolina Chickadee","Poecile carolinensis",2003,62
"407","Carolina Chickadee","Poecile carolinensis",2004,48
"408","Carolina Chickadee","Poecile carolinensis",2005,60
"409","Carolina Chickadee","Poecile carolinensis",2006,60
"410","Carolina Chickadee","Poecile carolinensis",2007,71
"411","Carolina Chickadee","Poecile carolinensis",2008,78
"412","Carolina Chickadee","Poecile carolinensis",2009,74
"413","Carolina Chickadee","Poecile carolinensis",2010,106
"414","Carolina Chickadee","Poecile carolinensis",2011,72
"415","Carolina Chickadee","Poecile carolinensis",2012,91
"416","Carolina Chickadee","Poecile carolinensis",2013,69
"417","Carolina Chickadee","Poecile carolinensis",2014,69
"418","Carolina Chickadee","Poecile carolinensis",2015,85
"419","Carolina Chickadee","Poecile carolinensis",2016,49
"420","Carolina Chickadee","Poecile carolinensis",2017,65
"421","Carolina Chickadee","Poecile carolinensis",2018,52
"422","Carolina Chickadee","Poecile carolinensis",2019,93
"423","Carolina Chickadee","Poecile carolinensis",2020,84
"424","Carolina Chickadee","Poecile carolinensis",2021,94
"425","Carolina Chickadee","Poecile carolinensis",2022,112
"426","Carolina Chickadee","Poecile carolinensis",2023,78
"427","Carolina Wren","Thryothorus ludovicianus",2000,127
"428","Carolina Wren","Thryothorus ludovicianus",2001,207
"429","Carolina Wren","Thryothorus ludovicianus",2002,171
"430","Carolina Wren","Thryothorus ludovicianus",2003,212
"431","Carolina Wren","Thryothorus ludovicianus",2004,199
"432","Carolina Wren","Thryothorus ludovicianus",2005,242
"433","Carolina Wren","Thryothorus ludovicianus",2006,308
"434","Carolina Wren","Thryothorus ludovicianus",2007,263
"435","Carolina Wren","Thryothorus ludovicianus",2008,196
"436","Carolina Wren","Thryothorus ludovicianus",2009,263
"437","Carolina Wren","Thryothorus ludovicianus",2010,237
"438","Carolina Wren","Thryothorus ludovicianus",2011,177
"439","Carolina Wren","Thryothorus ludovicianus",2012,165
"440","Carolina Wren","Thryothorus ludovicianus",2013,193
"441","Carolina Wren","Thryothorus ludovicianus",2014,214
"442","Carolina Wren","Thryothorus ludovicianus",2015,169
"443","Carolina Wren","Thryothorus ludovicianus",2016,152
"444","Carolina Wren","Thryothorus ludovicianus",2017,166
"445","Carolina Wren","Thryothorus ludovicianus",2018,193
"446","Carolina Wren","Thryothorus ludovicianus",2019,222
"447","Carolina Wren","Thryothorus ludovicianus",2020,222
"448","Carolina Wren","Thryothorus ludovicianus",2021,274
"449","Carolina Wren","Thryothorus ludovicianus",2022,260
"450","Carolina Wren","Thryothorus ludovicianus",2023,220
"451","Cedar Waxwing","Bombycilla cedrorum",2001,8
"452","Cedar Waxwing","Bombycilla cedrorum",2002,2
"453","Cedar Waxwing","Bombycilla cedrorum",2003,4
"454","Cedar Waxwing","Bombycilla cedrorum",2005,10
"455","Cedar Waxwing","Bombycilla cedrorum",2006,10
"456","Cedar Waxwing","Bombycilla cedrorum",2008,32
"457","Cedar Waxwing","Bombycilla cedrorum",2010,1
"458","Cedar Waxwing","Bombycilla cedrorum",2011,4
"459","Cedar Waxwing","Bombycilla cedrorum",2012,34
"460","Cedar Waxwing","Bombycilla cedrorum",2013,17
"461","Cedar Waxwing","Bombycilla cedrorum",2016,0
"462","Cedar Waxwing","Bombycilla cedrorum",2017,6
"463","Cedar Waxwing","Bombycilla cedrorum",2020,18
"464","Cedar Waxwing","Bombycilla cedrorum",2021,1
"465","Cedar Waxwing","Bombycilla cedrorum",2023,23
"466","Chimney Swift","Chaetura pelagica",2000,76
"467","Chimney Swift","Chaetura pelagica",2001,76
"468","Chimney Swift","Chaetura pelagica",2002,111
"469","Chimney Swift","Chaetura pelagica",2003,87
"470","Chimney Swift","Chaetura pelagica",2004,60
"471","Chimney Swift","Chaetura pelagica",2005,71
"472","Chimney Swift","Chaetura pelagica",2006,39
"473","Chimney Swift","Chaetura pelagica",2007,59
"474","Chimney Swift","Chaetura pelagica",2008,36
"475","Chimney Swift","Chaetura pelagica",2009,54
"476","Chimney Swift","Chaetura pelagica",2010,70
"477","Chimney Swift","Chaetura pelagica",2011,54
"478","Chimney Swift","Chaetura pelagica",2012,44
"479","Chimney Swift","Chaetura pelagica",2013,51
"480","Chimney Swift","Chaetura pelagica",2014,50
"481","Chimney Swift","Chaetura pelagica",2015,61
"482","Chimney Swift","Chaetura pelagica",2016,54
"483","Chimney Swift","Chaetura pelagica",2017,41
"484","Chimney Swift","Chaetura pelagica",2018,35
"485","Chimney Swift","Chaetura pelagica",2019,55
"486","Chimney Swift","Chaetura pelagica",2020,47
"487","Chimney Swift","Chaetura pelagica",2021,38
"488","Chimney Swift","Chaetura pelagica",2022,36
"489","Chimney Swift","Chaetura pelagica",2023,38
"490","Chipping Sparrow","Spizella passerina",2000,102
"491","Chipping Sparrow","Spizella passerina",2001,159
"492","Chipping Sparrow","Spizella passerina",2002,133
"493","Chipping Sparrow","Spizella passerina",2003,141
"494","Chipping Sparrow","Spizella passerina",2004,98
"495","Chipping Sparrow","Spizella passerina",2005,133
"496","Chipping Sparrow","Spizella passerina",2006,135
"497","Chipping Sparrow","Spizella passerina",2007,146
"498","Chipping Sparrow","Spizella passerina",2008,153
"499","Chipping Sparrow","Spizella passerina",2009,180
"500","Chipping Sparrow","Spizella passerina",2010,153
"501","Chipping Sparrow","Spizella passerina",2011,132
"502","Chipping Sparrow","Spizella passerina",2012,134
"503","Chipping Sparrow","Spizella passerina",2013,148
"504","Chipping Sparrow","Spizella passerina",2014,106
"505","Chipping Sparrow","Spizella passerina",2015,140
"506","Chipping Sparrow","Spizella passerina",2016,116
"507","Chipping Sparrow","Spizella passerina",2017,114
"508","Chipping Sparrow","Spizella passerina",2018,103
"509","Chipping Sparrow","Spizella passerina",2019,147
"510","Chipping Sparrow","Spizella passerina",2020,151
"511","Chipping Sparrow","Spizella passerina",2021,164
"512","Chipping Sparrow","Spizella passerina",2022,156
"513","Chipping Sparrow","Spizella passerina",2023,156
"514","Chuck-will's-widow","Antrostomus carolinensis",2001,2
"515","Chuck-will's-widow","Antrostomus carolinensis",2002,3
"516","Chuck-will's-widow","Antrostomus carolinensis",2004,4
"517","Chuck-will's-widow","Antrostomus carolinensis",2005,3
"518","Chuck-will's-widow","Antrostomus carolinensis",2006,1
"519","Chuck-will's-widow","Antrostomus carolinensis",2007,2
"520","Chuck-will's-widow","Antrostomus carolinensis",2008,4
"521","Chuck-will's-widow","Antrostomus carolinensis",2009,3
"522","Chuck-will's-widow","Antrostomus carolinensis",2010,5
